Site_N,Point,x,y
A09-46,5,121.0578889,24.739
A09-46,6,121.0546667,24.73883333
A09-46,7,121.0540556,24.73511111
A09-46,8,121.0525833,24.73169444
A09-46,9,121.0489722,24.72891667
A09-46,10,121.0463333,24.72744444
A09-47,1,121.149649,24.749839
A09-47,2,121.148136,24.74956
A09-47,3,121.147036,24.747476
A09-47,4,121.14368,24.74746
A09-47,5,121.139304,24.747041
A09-47,6,121.146391,24.745671
A09-47,7,121.148814,24.746815
A09-47,8,121.150979,24.745892
A09-48,1,121.2571694,24.81068333
A09-48,2,121.2612889,24.80951111
A09-48,3,121.2611861,24.81398333
A09-48,4,121.2717806,24.81835
A09-48,5,121.2693056,24.82061389
A09-48,6,121.2823389,24.819625
A09-48,7,121.2874167,24.82336111
A09-50,1,121.44016,25.00535
A09-50,2,121.43914,25.00277
A09-50,3,121.43868,24.99904
A09-50,4,121.43871,24.99601
A09-50,5,121.44051,25.00057
A09-50,6,121.4447,24.99894
A09-51,1,121.463814,25.167646
A09-51,2,121.4673,25.16649
A09-51,3,121.470749,25.165331
A09-51,4,121.472656,25.16332
A09-51,5,121.477026,25.162286
A09-51,6,121.47442,25.16602
A09-51,7,121.479436,25.167072
A09-51,8,121.480928,25.165596
A09-52,1,121.42415,25.18155
A09-52,2,121.42276,25.1772
A09-52,3,121.429588,25.17851
A09-52,4,121.42669,25.18117
A09-52,5,121.42794,25.18596
A09-52,6,121.43429,25.184166
A09-52,7,121.43006,25.19146
A09-52,8,121.42488,25.18807
A09-52,9,121.42266,25.18499
A09-52,10,121.418926,25.185312
A09-53,1,121.23167,24.82878
A09-53,2,121.2318889,24.82705556
A09-53,3,121.2339444,24.82869444
A09-53,4,121.2356944,24.82966667
A09-53,5,121.23769,24.83025
A09-53,6,121.2396111,24.83055556
A09-53,7,121.2417222,24.83161111
A09-53,8,121.24433,24.83378
A09-53,9,121.2449722,24.83616667
A09-53,10,121.244,24.83922222
A09-54,1,121.25512,24.82072
A09-54,2,121.25331,24.82257
A09-54,3,121.24814,24.82316
A09-54,4,121.24554,24.81885
A09-54,5,121.2421444,24.81330278
A09-54,6,121.24542,24.81322
A09-54,7,121.24714,24.81512
A09-54,8,121.25059,24.81824
A09-55,1,121.24694,25.01004
A09-55,2,121.24361,25.00807
A09-55,3,121.24119,25.01107
A09-55,4,121.23969,25.01398
A09-55,5,121.23449,25.00964
A09-55,6,121.23681,25.01157
A09-56,1,121.48847,25.04667
A09-56,2,121.48411,25.04864
A09-56,3,121.48137,25.05218
A09-56,4,121.47957,25.05561
A09-56,5,121.47717,25.06052
