"樣區編號","樣區名稱","樣點編號","TWD97_X","TWD97_Y"
"MA-B09-12","東滿步道(烏來事業區第36林班)","4","295002","2745055"
"MA-B09-12","東滿步道(烏來事業區第36林班)","5","294814","2744750"
"MA-B09-12","東滿步道(烏來事業區第36林班)","6","294710","2744500"
"MA-B09-13","東眼(38林班)","6","293031","2750310"
"MA-B09-13","東眼(38林班)","5","291490","2750606"
"MA-B09-13","東眼(38林班)","2","289418","2749049"
"MA-B09-13","東眼(38林班)","3","289872","2749274"
"MA-B09-14","五寮（40林班）","1","287104","2749754"
"MA-B09-14","五寮（40林班）","2","287417","2749501"
"MA-B09-15","福巴越嶺古道(檜山)※","2","301213","2740362"
"MA-B09-15","福巴越嶺古道(檜山)※","3","301178","2740121"
"MA-C11-03","三叉坑","1","238478","2685034"
"MA-C11-03","三叉坑","2","238728","2685217"
"MA-C11-03","三叉坑","3","239180","2684617"
"MA-C11-03","三叉坑","4","238770","2684915"
"MA-C11-03","三叉坑","5","238747","2684700"
"MA-C11-03","三叉坑","6","238761","2684458"
"MA-C11-06","穿棟林道","1","240280","2682626"
"MA-C11-06","穿棟林道","2","240496","2682606"
"MA-C11-06","穿棟林道","3","240695","2682695"
"MA-C11-06","穿棟林道","4","240881","2682832"
"MA-C11-06","穿棟林道","5","240835","2683056"
"MA-C11-06","穿棟林道","6","241008","2683214"
"MA-C12-01","大坑","1","229516","2676735"
"MA-C12-01","大坑","2","229395","2676501"
"MA-C12-01","大坑","3","229267","2676300"
"MA-C12-01","大坑","4","229260","2675978"
"MA-C12-01","大坑","5","229242","2675530"
"MA-C12-01","大坑","6","228640","2674869"
"MA-C12-04","安區128、129林班","1","242983","2687638"
"MA-C12-04","安區128、129林班","2","243194","2687523"
"MA-C12-04","安區128、129林班","3","243293","2687291"
"MA-C12-04","安區128、129林班","4","243487","2687150"
"MA-C12-04","安區128、129林班","5","243661","2686976"
"MA-C12-04","安區128、129林班","6","243892","2686889"
"MA-C12-05","安區129、130林班","1","241150","2687520"
